,Address,BeginDate,BeginTime,Category,Distance,Duration,EndDate,EndTime,IndexTime,Name,WeekDay,Weather,"Mood (1,2,3,4,5::negative,neutral,positive)"
415,,3/1/2018,12:44:52,Driving,941,0h 4min 9sec,3/1/2018,12:49:01,3/1/2018 12:44,Driving,3, clear-day,
416,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/1/2018,11:45:41,Apartment Building,0,0h 59min 11sec,3/1/2018,12:44:52,3/1/2018 11:45,Home,3, clear-day,
417,,3/1/2018,11:36:09,Driving,3670,0h 9min 31sec,3/1/2018,11:45:41,3/1/2018 11:36,Driving,3, clear-day,
418,"Austin, TX 78712",3/1/2018,9:08:48,Public University,0,2h 27min 21sec,3/1/2018,11:36:09,3/1/2018 9:08,The University of Texas at Austin,3, clear-day,
419,,3/1/2018,9:02:37,Driving,3244,0h 6min 10sec,3/1/2018,9:08:48,3/1/2018 9:02,Driving,3, clear-day,
420,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/28/2018,21:52:27,Apartment Building,0,11h 10min 9sec,3/1/2018,9:02:37,2/28/2018 21:52,Home,2, clear-night,
421,,2/28/2018,21:35:16,Driving,4657,0h 17min 10sec,2/28/2018,21:52:27,2/28/2018 21:35,Driving,2, clear-night,
422,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/28/2018,20:37:01,Apartment Building,0,0h 58min 14sec,2/28/2018,21:35:16,2/28/2018 20:37,Home,2, clear-night,
423,,2/28/2018,20:30:29,Driving,3963,0h 6min 32sec,2/28/2018,20:37:01,2/28/2018 20:30,Driving,2, clear-night,
424,"Austin, TX 78701",2/28/2018,20:23:05,,0,0h 7min 23sec,2/28/2018,20:30:29,2/28/2018 20:23,Waller Creek District,2, clear-night,
425,,2/28/2018,20:05:57,Driving,3598,0h 17min 8sec,2/28/2018,20:23:05,2/28/2018 20:05,Driving,2, clear-night,
426,"Austin, TX 78712",2/28/2018,13:29:31,Public University,0,6h 36min 26sec,2/28/2018,20:05:57,2/28/2018 13:29,The University of Texas at Austin,2, clear-day,
